nafn,start_time,percent_completed,est_finish_time,started,finished,upphaf,fjoldi,id
Enduro Ísafjörður - Enduró Ísafjörður - Konur  | 18A |15 ára og eldri,11:00,100,17:00,4,4,2024-10-17 11:00:00,4,50
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | RAF |15 ára og eldri,11:00,100,17:00,3,3,2024-10-17 11:00:00,3,51
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | 18B |15 ára og eldri,11:00,100,17:00,2,2,2024-10-17 11:00:00,2,52
Enduro Ísafjörður - Enduró Ísafjörður - Konur  | 18B |15 ára og eldri,11:00,100,17:00,6,6,2024-10-17 11:00:00,6,53
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | MAS |35 ára og eldri,11:00,100,17:00,12,12,2024-10-17 11:00:00,12,54
Enduro Ísafjörður - Enduró Ísafjörður - Konur  | MAS |35 ára og eldri,11:00,100,17:00,5,5,2024-10-17 11:00:00,5,55
Tímataka Víkings 2021 - 24 KM - Heildarúrslit,19:00,98,21:00,43,42,2024-10-17 19:00:00,43,56
Vatnsmýrarhlaupið 2021 - 5 KM hlaup - Heildarúrslit / Overall,20:00,100,21:00,107,107,2024-10-17 20:00:00,107,57
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | ELI |18 ára og eldri",18:00,100,21:00,10,10,2024-10-17 18:00:00,10,58
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Konur  | ELI |18 ára og eldri",18:00,100,21:00,3,3,2024-10-17 18:00:00,3,59
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | JUN |17 ára til 18 ára",18:00,100,21:00,1,1,2024-10-17 18:00:00,1,60
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Konur  | JUN |17 ára til 18 ára",18:00,100,21:00,2,2,2024-10-17 18:00:00,2,61
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | U17 |15 ára til 16 ára",18:00,100,21:00,1,1,2024-10-17 18:00:00,1,62
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | U15 |13 ára til 14 ára",18:00,100,21:00,2,2,2024-10-17 18:00:00,2,63
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | U13 |10 ára til 12 ára",18:00,100,21:00,2,2,2024-10-17 18:00:00,2,64
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Konur  | MAS |35 ára og eldri",18:00,100,21:00,6,6,2024-10-17 18:00:00,6,65
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | MAS |35 ára og eldri",18:00,100,21:00,12,12,2024-10-17 18:00:00,12,66
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | AFL |8 ára og eldri",18:00,100,21:00,3,3,2024-10-17 18:00:00,3,67
Íslandsmótið í fjallabruni- Skálafell - Skálafell DH - Heildarúrslit,13:00,100,16:00,52,52,2024-10-17 13:00:00,52,68
Austur Ultra 2021 - 10 KM - Heildarúrslit / Overall,14:00,100,18:00,12,12,2024-10-17 14:00:00,12,69
Austur Ultra 2021 - 20 KM - Heildarúrslit / Overall,11:00,99,17:00,66,65,2024-10-17 11:00:00,66,70
Austur Ultra 2021 - 50 KM - Heildarúrslit / Overall,09:00,100,17:00,18,18,2024-10-17 09:00:00,18,71
Criterium bikarmót - 7 - A-Flokkur Kvenna (Elite) - Konur 16 ára og eldri,20:30,0,21:00,3,0,2024-10-17 20:30:00,3,72
Criterium bikarmót - 7 - A-Flokkur Karla (Elite) - Karlar 16 ára og eldri,21:05,0,21:40,13,0,2024-10-17 21:05:00,13,73
Criterium bikarmót - 7 - U13 / U15 / U17 - Karlar 13 ára til 14 ára,19:00,0,21:00,1,0,2024-10-17 19:00:00,1,74
Criterium bikarmót - 7 - U13 / U15 / U17 - Karlar 6 ára til 12 ára,19:00,0,21:00,1,0,2024-10-17 19:00:00,1,75
Criterium bikarmót - 7 - Junior Strákar - Karlar 17 ára til 18 ára,19:20,0,00:00,1,0,2024-10-17 19:20:00,1,76
Criterium bikarmót - 7 - Master Karla - Karlar 40 ára til 49 ára,19:20,0,20:00,1,0,2024-10-17 19:20:00,1,77
Criterium bikarmót - 7 - Master Karla - Karlar 50 ára til 59 ára,19:20,0,20:00,1,0,2024-10-17 19:20:00,1,78
Criterium bikarmót - 7 - Master Kvenna - Konur 40 ára til 49 ára,19:55,0,20:30,3,0,2024-10-17 19:55:00,3,79
Criterium bikarmót - 7 - B-flokkur Karla (RR) - Karlar 99 ára og yngri,19:20,0,20:00,2,0,2024-10-17 19:20:00,2,80
Ljósanæturhlaup Lífsstíls 2023 - 7 KM hlaup - Heildarúrslit / Overall,18:35,100,20:00,67,67,2024-10-17 18:35:00,67,81
Ljósanæturhlaup Lífsstíls 2023 - 10 KM hlaup - Heildarúrslit / Overall,18:30,100,20:00,67,67,2024-10-17 18:30:00,67,82
Ljósanæturhlaup Lífsstíls 2023 - 3 KM skemmtiskokk - Heildarúrslit / Overall,18:40,100,20:00,82,82,2024-10-17 18:40:00,82,83
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2023 - Íslandsmót í XCM (75km) - Karlar - A-Flokkur (Elite),10:00,91,13:00,11,10,2024-10-17 10:00:00,11,84
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2023 - Íslandsmót í XCM (75km) - Karlar - A-Flokkur (U23),10:00,100,13:00,2,2,2024-10-17 10:00:00,2,85
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2023 - Íslandsmót í XCM (63km) - Heildarúrslit / Overall,10:00,100,14:00,22,22,2024-10-17 10:00:00,22,86
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2023 - Íslandsmót í XCM (13km) - Heildarúrslit / Overall,10:00,100,14:00,4,4,2024-10-17 10:00:00,4,87
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2023 - Íslandsmót í XCM (50km) - Heildarúrslit / Overall,10:00,100,14:00,13,13,2024-10-17 10:00:00,13,88
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2023 - Almenningur (25km) - Heildarúrslit / Overall,10:00,100,12:00,5,5,2024-10-17 10:00:00,5,89
Tindahlaup Mosfellsbæjar 2023 - 7 tindar (37 km) - Heildarúrslit / Overall,09:00,100,16:00,44,44,2024-10-17 09:00:00,44,90
Tindahlaup Mosfellsbæjar 2023 - 5 tindar (35 km) - Heildarúrslit / Overall,09:00,100,16:00,39,39,2024-10-17 09:00:00,39,91
Ofursprettþraut 3N - 2023 - Bikarkeppni Almennur Flokkur - Heildarúrslit / Overall,09:00,100,11:00,35,35,2024-10-17 09:00:00,35,92
Ofursprettþraut 3N - 2023 - Opinn flokkur - Heildarúrslit / Overall,09:00,100,11:00,14,14,2024-10-17 09:00:00,14,93
Ofursprettþraut 3N - 2023 - ungmennaflokkur 15-17 ára - Heildarúrslit / Overall,09:00,100,11:00,1,1,2024-10-17 09:00:00,1,94
Ofursprettþraut 3N - 2023 - Liðakeppni - Heildarúrslit / Overall,09:00,100,11:00,1,1,2024-10-17 09:00:00,1,95
Kulda fjallabrunið í Úlfarsfelli 2023 - Kulda fjallabrunið í Úlfarsfelli - Heildarúrslit / Overall,11:00,95,13:00,39,37,2024-10-17 11:00:00,39,96
Fossvogshlaup Hleðslu 2023 - 10 KM hlaup - Heildarúrslit / Overall,19:00,98,20:30,138,134,2024-10-17 19:00:00,138,97
Íslandsmót í criterium 2023 - U13 / U15 - Heildarúrslit / Overall,09:00,0,09:45,3,0,2024-10-17 09:00:00,3,98
Íslandsmót í criterium 2023 - C-flokkur - Heildarúrslit / Overall,09:45,0,10:30,3,0,2024-10-17 09:45:00,3,99
Íslandsmót í criterium 2023 - Ráshópur 3 - Konur / Female,10:30,0,11:30,12,0,2024-10-17 10:30:00,12,100
Íslandsmót í criterium 2023 - Ráshópur 4 - Karlar / Male,11:30,0,12:30,9,0,2024-10-17 11:30:00,9,101
Íslandsmót í criterium 2023 - A-Flokkur Kvenna (Elite) - A-flokkur: 60 mín + bjölluhringur,12:30,0,13:45,4,0,2024-10-17 12:30:00,4,102
Íslandsmót í criterium 2023 - A-Flokkur Karla (Elite) - A-flokkur: 75 mín + bjölluhringur,13:45,0,15:15,18,0,2024-10-17 13:45:00,18,103
Tour de Ormurinn 2023 - 26 km - Heildarúrslit / Overall,09:40,100,15:00,9,9,2024-10-17 09:40:00,9,104
Tour de Ormurinn 2023 - 68 km - Heildarúrslit / Overall,09:00,103,15:00,37,38,2024-10-17 09:00:00,37,105
Tour de Ormurinn 2023 - 103 KM - Heildarúrslit / Overall,09:00,100,15:00,10,10,2024-10-17 09:00:00,10,106
Brúarhlaupið 2023 - 10 KM hlaup - Heildarúrslit / Overall,11:30,100,13:00,57,57,2024-10-17 11:30:00,57,107
Brúarhlaupið 2023 - 5 KM hlaup - Heildarúrslit / Overall,12:00,100,13:00,60,60,2024-10-17 12:00:00,60,108
Brúarhlaupið 2023 - 5 KM hjólreiðar - Heildarúrslit / Overall,11:00,99,12:00,51,50,2024-10-17 11:00:00,51,109
Ungduro Ísafjörður 2023 - Ungdúró Ísafjörður - Heildarúrslit / Overall,11:00,100,16:00,21,21,2024-10-17 11:00:00,21,110
Sprettþraut Selfossi 2023 - Almennur flokkur (5. bikar) - Heildarúrslit / Overall,09:20,100,11:30,30,30,2024-10-17 09:20:00,30,111
Sprettþraut Selfossi 2023 - Opinn flokkur - Heildarúrslit / Overall,09:20,100,11:30,16,16,2024-10-17 09:20:00,16,112
5VH Trail Run 2023 - 5VH Trail Run - Heildarúrslit / Overall,09:00,99,16:00,178,175,2024-10-17 09:00:00,178,113
Grefillinn 2023 - Grefillinn - 200 km - Heildarúrslit / Overall,07:00,100,21:00,47,47,2024-10-17 07:00:00,47,114
Grefillinn 2023 - Grefillinn - 100 km - Heildarúrslit / Overall,10:00,100,21:00,68,68,2024-10-17 10:00:00,68,115
Trékyllisheiðin 2023 - Trékyllisheiðin Ultra 48 km - Heildarúrslit / Overall,10:00,100,18:00,6,6,2024-10-17 10:00:00,6,116
Trékyllisheiðin 2023 - Trékyllisheiðin Midi 26 km - Heildarúrslit / Overall,12:00,100,17:00,15,15,2024-10-17 12:00:00,15,117
"Trékyllisheiðin 2023 - Trékyllisheiðin Mini 16,5 km - Heildarúrslit / Overall",13:00,100,17:00,19,19,2024-10-17 13:00:00,19,118
"Trékyllisheiðin 2023 - Trékyllisheiðin Junior 3,7 km - Heildarúrslit / Overall",14:00,100,17:00,11,11,2024-10-17 14:00:00,11,119
Austur Ultra 2023 - Austur Ultra 18 - Heildarúrslit / Overall,12:30,100,19:00,12,12,2024-10-17 12:30:00,12,120
Austur Ultra 2023 - Austur Ultra 9 - Heildarúrslit / Overall,13:30,100,19:00,20,20,2024-10-17 13:30:00,20,121
"Jökulsárhlaup 2023 - 21,2 KM: HÓLMATUNGUR - ÁSBYRGI - Heildarúrslit / Overall",11:30,100,16:00,40,40,2024-10-17 11:30:00,40,122
"Jökulsárhlaup 2023 - 32,7 KM: DETTIFOSS - ÁSBYRGI - Heildarúrslit / Overall",10:30,100,16:00,57,57,2024-10-17 10:30:00,57,123
Iceland Volcano Marathon 2023 - Marathon - Heildarúrslit / Overall,07:30,100,14:30,26,26,2024-10-17 07:30:00,26,124
Iceland Volcano Marathon 2023 - Half Marathon - Heildarúrslit / Overall,07:30,100,14:30,37,37,2024-10-17 07:30:00,37,125
Iceland Volcano Marathon 2023 - Quarter Marathon - Heildarúrslit / Overall,07:45,100,14:30,12,12,2024-10-17 07:45:00,12,126
Enduro Ísafjörður 2023 - Enduró Ísafjörður - Heildarúrslit / Overall,16:00,93,17:00,53,49,2024-10-17 16:00:00,53,127
Vatnsmýrarhlaupið 2023 - 5 KM hlaup - Heildarúrslit / Overall,20:00,100,21:00,138,138,2024-10-17 20:00:00,138,128
Criterium bikarmót - 4 - U13 / U15 - Konur / Female5 ára til 12 ára,19:00,0,19:20,1,0,2024-10-17 19:00:00,1,129
Criterium bikarmót - 4 - U13 / U15 - Konur / Female12 ára til 14 ára,19:00,0,19:20,2,0,2024-10-17 19:00:00,2,130
Criterium bikarmót - 4 - U13 / U15 - Karlar / Male12 ára til 14 ára,19:00,0,19:20,2,0,2024-10-17 19:00:00,2,131
Criterium bikarmót - 4 - B-flokkur Kvenna - Konur / Female99 ára og yngri,19:20,0,19:55,4,0,2024-10-17 19:20:00,4,132
Criterium bikarmót - 4 - Junior  Stúlkur - Konur / Female17 ára til 18 ára,19:20,0,19:55,1,0,2024-10-17 19:20:00,1,133
Criterium bikarmót - 4 - U17 Kvenna - Konur / Female15 ára til 16 ára,19:20,25,19:55,4,1,2024-10-17 19:20:00,4,134
Criterium bikarmót - 4 - B-flokkur Karla - Karlar / Male99 ára og yngri,19:55,0,20:30,2,0,2024-10-17 19:55:00,2,135
Criterium bikarmót - 4 - Junior Strákar - Karlar / Male17 ára til 18 ára,19:55,50,20:30,2,1,2024-10-17 19:55:00,2,136
Criterium bikarmót - 4 - U17 Karla - Karlar / Male15 ára til 16 ára,19:55,0,20:30,3,0,2024-10-17 19:55:00,3,137
Criterium bikarmót - 4 - A-Flokkur Kvenna (Elite) - Konur / Female16 ára og eldri,19:20,0,19:55,2,0,2024-10-17 19:20:00,2,138
Criterium bikarmót - 4 - A-Flokkur Karla (Elite) - Karlar / Male16 ára og eldri,19:55,0,20:30,8,0,2024-10-17 19:55:00,8,139
ULM 2023: Götuhjólreiðar - 10 KM - Karlar / Male11 ára til 14 ára,10:00,100,12:30,40,40,2024-10-17 10:00:00,40,140
ULM 2023: Götuhjólreiðar - 10 KM - Konur / Female11 ára til 14 ára,10:00,100,12:30,16,16,2024-10-17 10:00:00,16,141
ULM 2023: Götuhjólreiðar - 20 KM - Karlar / Male10 ára til 18 ára,10:00,100,12:30,20,20,2024-10-17 10:00:00,20,142
Súlur Vertical 2023 - Súlur - 28 KM - Heildarúrslit / Overall,10:00,100,17:00,111,111,2024-10-17 10:00:00,111,143
Súlur Vertical 2023 - Tröllið - 43 KM - Heildarúrslit / Overall,08:00,100,17:00,51,51,2024-10-17 08:00:00,51,144
Súlur Vertical 2023 - Gyðjan - 100 KM - Heildarúrslit / Overall,20:00,100,18:00,17,17,2024-10-17 20:00:00,17,145
Adidas Boost hlaupið 2023 - 10 KM - Heildarúrslit / Overall,20:00,99,21:30,281,278,2024-10-17 20:00:00,281,146
Tindahlaup Mosfellsbæjar 2024 - 7 tindar (37 km) - Heildarúrslit / Overall,09:00,100,18:00,44,44,2024-10-17 09:00:00,44,147
Tindahlaup Mosfellsbæjar 2024 - 5 tindar (35 km) - Heildarúrslit / Overall,09:00,100,18:00,46,46,2024-10-17 09:00:00,46,148
Tindahlaup Mosfellsbæjar 2024 - 3 tindar (19 km) - Heildarúrslit / Overall,11:00,100,16:00,173,173,2024-10-17 11:00:00,173,149
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2024 - Íslandsmót í XCM (75km) - Karlar - A-Flokkur (Elite),10:00,93,14:00,13,12,2024-10-17 10:00:00,13,150
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2024 - Íslandsmót í XCM (63km) - Heildarúrslit / Overall,10:00,100,14:00,4,4,2024-10-17 10:00:00,4,151
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2024 - Íslandsmót í XCM (50km) - Heildarúrslit / Overall,10:00,100,14:00,9,9,2024-10-17 10:00:00,9,152
Tindur UNBROKEN - Íslandsmót í maraþon fjallahjólreiðum 2024 - Almenningur (25km) - Heildarúrslit / Overall,10:10,100,12:00,4,4,2024-10-17 10:10:00,4,153
Hleðsluhlaupið 2024 - 5 KM hlaup - Heildarúrslit / Overall,19:00,100,20:00,448,448,2024-10-17 19:00:00,448,154
Fellahringurinn 2024 - Litli hringur - 15 km - Heildarúrslit / Overall,18:00,105,20:00,20,21,2024-10-17 18:00:00,20,155
Fellahringurinn 2024 - Stóri hringur - 30 km - Heildarúrslit / Overall,18:00,100,20:00,38,38,2024-10-17 18:00:00,38,156
Fellahringurinn 2024 - Stóri hringur - 30 km (Rafmagnshjól) - Heildarúrslit / Overall,18:00,100,20:00,10,10,2024-10-17 18:00:00,10,157
Hundahlaupið 2024 - 5 Km - Heildarúrslit / Overall,18:00,99,20:00,64,63,2024-10-17 18:00:00,64,158
"Vitahlaupið 2024 - Stafnesviti -Garðskagaviti (15,4KM) - Heildarúrslit / Overall",18:00,100,20:00,18,18,2024-10-17 18:00:00,18,159
"Vitahlaupið 2024 - Sandgerðisviti - Garðskagaviti (6,7KM) - Heildarúrslit / Overall",18:30,100,20:00,43,43,2024-10-17 18:30:00,43,160
Iceland Volcano Marathon 2024 - Marathon - Heildarúrslit / Overall,07:30,100,14:30,33,33,2024-10-17 07:30:00,33,161
Iceland Volcano Marathon 2024 - Half Marathon - Heildarúrslit / Overall,07:30,100,14:30,46,46,2024-10-17 07:30:00,46,162
Iceland Volcano Marathon 2024 - Quarter Marathon - Heildarúrslit / Overall,07:45,100,14:30,12,12,2024-10-17 07:45:00,12,163
Íslandsmót í criterium 2024 - U13 / U15 - Heildarúrslit / Overall,09:45,0,10:30,2,0,2024-10-17 09:45:00,2,164
Íslandsmót í criterium 2024 - Ráshópur 2 - Konur / Female,10:30,0,11:30,8,0,2024-10-17 10:30:00,8,165
Íslandsmót í criterium 2024 - Ráshópur 3 - Karlar / Male,11:30,0,12:30,14,0,2024-10-17 11:30:00,14,166
Íslandsmót í criterium 2024 - A-Flokkur Kvenna (Elite) - A-flokkur: 60 mín + bjölluhringur,12:30,0,13:45,8,0,2024-10-17 12:30:00,8,167
Íslandsmót í criterium 2024 - A-Flokkur Karla (Elite) - A-flokkur: 75 mín + bjölluhringur,13:45,0,15:15,15,0,2024-10-17 13:45:00,15,168
Trékyllisheiðin 2024 - Trékyllisheiðin Ultra 48 km - Heildarúrslit / Overall,10:00,100,18:00,7,7,2024-10-17 10:00:00,7,169
Trékyllisheiðin 2024 - Trékyllisheiðin Midi 26 km - Heildarúrslit / Overall,12:00,93,17:00,26,24,2024-10-17 12:00:00,26,170
"Trékyllisheiðin 2024 - Trékyllisheiðin Mini 16,5 km - Heildarúrslit / Overall",13:00,100,17:00,36,36,2024-10-17 13:00:00,36,171
"Trékyllisheiðin 2024 - Trékyllisheiðin Junior 3,7 km - Heildarúrslit / Overall",14:00,100,17:00,13,13,2024-10-17 14:00:00,13,172
Fjarðarhlaupið 2024 - 10 km skemmtiskokk - Heildarúrslit / Overall,12:00,100,14:00,2,2,2024-10-17 12:00:00,2,173
Fjarðarhlaupið 2024 - 5/10 km skemmtiskokk - Heildarúrslit / Overall,12:00,100,14:00,19,19,2024-10-17 12:00:00,19,174
Fjarðarhlaupið 2024 - 18 km Fjallahlaup - Heildarúrslit / Overall,11:00,100,17:00,65,65,2024-10-17 11:00:00,65,175
Fjarðarhlaupið 2024 - 32 km Fjallahlaup - Heildarúrslit / Overall,10:00,100,17:00,24,24,2024-10-17 10:00:00,24,176
Vatnsdalshólahlaupin - Gljúfurárhlaup (25 km) - Heildarúrslit / Overall,11:00,100,12:00,7,7,2024-10-17 11:00:00,7,177
Vatnsdalshólahlaupin - Ranhólahlaup (11 km) - Heildarúrslit / Overall,11:00,100,12:00,5,5,2024-10-17 11:00:00,5,178
Tour de Ormurinn 2024 - 26 km - Heildarúrslit / Overall,09:40,100,15:00,15,15,2024-10-17 09:40:00,15,179
Tour de Ormurinn 2024 - 68 km - Heildarúrslit / Overall,09:00,100,15:00,33,33,2024-10-17 09:00:00,33,180
Tour de Ormurinn 2024 - 103 KM - Heildarúrslit / Overall,09:00,100,15:00,4,4,2024-10-17 09:00:00,4,181
Lauf Elja XCO 2024 - Lauf Elja XCO - Liðakeppni - Liðakeppni,18:00,100,22:00,6,6,2024-10-17 18:00:00,6,182
Sprettþraut Selfossi 2024 - Almennur flokkur (5. bikar) - Heildarúrslit / Overall,09:20,100,11:30,35,35,2024-10-17 09:20:00,35,183
Sprettþraut Selfossi 2024 - Opinn flokkur - Heildarúrslit / Overall,09:20,100,11:30,12,12,2024-10-17 09:20:00,12,184
Ungduro Ísafjörður 2024 - Ungdúró Ísafjörður - Heildarúrslit / Overall,11:00,80,16:00,10,8,2024-10-17 11:00:00,10,185
